vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
cj9f,13,4.2,27,মা শা আল্লাহ। আমার মা ঠিক এভাবেই আলু ভাজি আর রুটি বানায়। ২২ পিস রুটি অর্ডার করেছি ফ্রোজেন করে খাবো বলে। কিন্তু এক বসায় ৭/৮ পিস শেষ। এত্ত ভালো খাবার আমি যাই বলব কম হবে। মন থেকে দুয়া আপনাদের জন্য। ,Nure,
l87l,3,3.44,5,Stale food. Very weird seasoning. Just avoid. ,Samdani,
npox,1,2.33,1,Worst food I ever had 🤢,Farah,
rofg,2,3.67,4,"খুবই নিম্নমানের,গোস্ট খুজেই পাওয়া যায় না ১ পিস কে ৪ পিস করে দিয়েছে,রোজার দিনে বাজে এক্সপেরিয়েন্স করলাম",M,
gg7o,22,3.86,40,Sandwich was good but 2 sauce pack was not delivered even after giving instructions.,S,
k1ou,7,2.25,4,"the quantity in the meatbox in the picture and the one given to me does not match, Also the cold coffee cup came in the worst condition possible ",Areeq,
l4i1,18,3.77,30,vorta gula beat,Ibna,
a7e9,10,2.39,7,Zero star dear bebosta thakle valo hoto. Burger er description er sathe kuno mil nai. Bolbe ekta dibe ar ekta. Burger er modhe pocha gondho. Pora chicken silo. Ar tong dokaner 5 takar sokto bread.Thuh,Shadman,
m7i5,30,3.37,39,"The package said it has bhuna khichuri,  with beef ang egg. but the egg was missing ",Antora,
jqbn,25,3.6,42,Purai Faltu. Beef Turkish Burger er bun fangas dhora chilo R onek beshi mayonnaise use kore. Shingara 6ta deyar kotha thakleo 4ta dise. Ai restaurant theke jiboneo order korbo na Faul ,Noorun,
cl5c,1,1.0,0,খাবারের সাথে কোল্ড ড্রিংকস দেওয়ার কথা উল্লেখ ছিলো মেনুতে। কিন্তু দিছে পানি। হালার পুতের*******,MD,
ucqu,1,3.0,0,pizza looks very nice but taste is a little bitter. I don't know why ,Fariha,
dxml,1,1.0,0,Food quality too bad..they use old oil..bad smell coming out from food,Razia,
sc1d,2,5.0,6,খাবার ভাল ছিল।,Tana,
k473,2,2.67,3,"I normally order soup from here. Reasonable price and they give good amount with classy packaging. However, the broth of the soup could be a bit thick, it’s just watery.",Sreeja,
zo4o,30,3.05,32,overrated ,Shayerah,
y8wm,30,3.73,53,"Daal bhorta te oneek lobon chilo, fele dite hoyechilo. Chicken ta onek moja chilo . ",Marjana,
fckc,3,3.33,4,"good nothing extra ordinary, average taste Khichuri, I thought it would be bhuna bhuna but it's wasn't ",Adhrika,
rpil,25,3.95,41,Raw food,Miftahul,
zp1j,1,5.0,3,Food was good and the bbq wing were just the best ,Bobby,
l8tg,17,4.4,35,burger was yummy 👌but classic meatbox was so bad👎 ,Shima,
m0r7,17,2.64,16,Bad,Mijan,
s9af,30,2.84,31,Test was so bad,salmin,
nmat,30,2.12,23,We didn't get the food. The payment  has been paid. ,Asif,
m9bg,1,1.0,0,ফ্রড । বাজে,Shaila,
rwkw,1,3.0,1,They gave 4 piece wings instead 5 piece,Sabatun,
f0wu,5,2.6,4,"মিটবক্স বানাইতে না পারলে আবার নতুন করে শিখেন,,৩০০ টাকার মিডবক্স অথচ ভিতরে কিছুই নাই ,, পুরাটা ফ্রান্স ফ্রাই দিয়ে ভরিয়ে রাখছেন,, ",Zara,
n0m0,20,2.77,21,দই ফুচকা একদম ভর্তা হয়ে গেছে।,Nur,
vg5a,3,3.5,4,khubi baje 👎👎👎👎👎,Adiba,
tqou,6,3.25,10,food is ok the wait is even worse. waiting that long for the food to arrive just for it to taste that mediocre is crazy. don't waste your time.,Samin,
mvlg,30,3.0,32,এখান থেকে আর অর্ডার করব না। বাসি স্যান্ডউইচ দিছে। পারলে জরিমানা সহ আমার টাকা ফেরত দিখ,Prabir,
qclz,14,4.24,31,"Forgot paratha, and told the delivery guy to tell customer that they will compensate in next order. ",Mysha,
gml3,9,4.0,16,one of the best rice bowls I've ever had. only wish that there was a little more beef and no capsicum ,Tashfin,
q6zd,30,3.08,36,not worth it according to the price. ,muhibul,
jiep,4,3.73,7,"Really professional delivery guy,food was good.",Maliha,
irxk,26,2.97,25,Chicken mushroom pie needs more filling,Zaima,
yjfo,30,3.76,57,worst packaging ever. ,Samiul,
oby4,5,3.4,6,Good Food ,iffath,
uuqa,2,5.0,4,Really enjoyed the fried rice ,Musfiqur,
hhn5,13,3.06,14,too salty and the chili chicken taste needs to be improved ,jobayer,
ctpe,1,1.0,0,ETA ki chotpoti na mashed potato egg curry chilo bujhlam na.fuchka as same motor dana khujte hoice. Fuchkar tok just ribbish. Nuton dekhe vablam order kori bt akbar khele 2nd time kau ar order dibena ,Ruman,
irx0,1,5.0,3,"The chicken meatball pizza was very yummy. Surely will buy it again, iA!",Parveen,
pf3m,11,2.79,10,I ordered spicy meat box. the quantity was very less which wasn’t mentioned  anywhere. the taste was also very bad and there was only sausages in the meat box ,Humaira,
svdn,30,3.76,44,They have all the cold food - beef chop and beef samucha. all the foods are directly from fridge. Also did not gave any sauce along with the savory iteams,Mrs,
tc8d,2,1.0,0,"শুধু ময়দা ( সামান্য কিছু বাটার ও ছিল )

দিয়ে ক্রিম অফ মাশরুম সুপ বানায় দিছে। নিচে ময়দা জমে ছিল ।ক্রিমের নাম গন্ধও ছিলনা। মাশরুমের পরিমাণ অত্যন্ত নগণ্য ছিল।",Mehdi,
cyz4,1,1.0,0,"Akdom faltu kahbar, plz sohbai ai aikaner kahbar avboid korben. ",Fahim,
abkv,30,4.43,62,ভাতটা শক্ত ছিলো কিন্তু বাকি খাবারগুলো ভালো ছিলো। ভাতের দিকে একটু নজর রাখবেন প্লিজ।,Sabrina,
s6ty,10,3.96,19,Ordered Naga But found not a minimum spicy ,Jalilur,
soca,7,2.41,5,"atto bje pizza , ora pizza mne hoi banaite e pare nh khub bje , kno test nai , valo kore pizza hoi o nah , oder pizza khaiya amr basar prottek tah lok er pet e problem hoica , faltu test 🤮🤮🤮",Sayeda,
coan,8,5.0,21,সুস্বাদু খাবার ❤️,Md,
a38i,8,2.9,10,mixed cashew nut salad was spoiled..otherwise ok,Abdullah,
tmpf,27,4.13,53,"Fish was nice, chips were soggy.",Imtiaz,
ksp1,8,2.6,7,মাংস তো দেয় না হাড্ডি দিয়ে রাখসে রাইস এর মধ্যে ,Fatema,
xju7,30,2.7,26,"not recomanded,,,নাগা ওভেন বেকড পাস্তা তে পানি পানি মিষ্টি সস আর চিজ নাই। তান্দুরি রাইস প্লেটার এ চিকেন এ মশলা কাঁচা, রাইস proper cooked না ",Ifshita,
gms2,1,5.0,3,vaat dal sobji with mach peyechi aloo dal missing....,NJifa,
u1zq,25,3.0,30,"the monos were rotten. the russian roll was good. samosa was alright. mushroom pie used to be more tasty, not good anymore. ",Nasheen,
qhw6,29,2.39,22,moja ,Suchona,
urgf,18,2.64,18,good rider,Nasiruddin,
